,Loss_Source0_Training,Loss_Source0_Test,Loss_Source_Training,Loss_Source_Test,Loss_Target_Training,Loss_Target_Validation,Loss_Target_Test,Loss_Training,Loss_Test
main_2_5,0.546107828617096,0.5952435731887817,0.617802619934082,0.5624701380729675,0.6483443379402161,0.6174855828285217,0.7483273148536682,0.6102873682975769,0.5780142545700073
main_2_6,0.5794973969459534,0.5896430611610413,0.5648599863052368,0.5329579710960388,0.5448679327964783,0.6003887057304382,0.7183675169944763,0.5655606985092163,0.5515987277030945
main_2_7,0.5549137592315674,0.5909179449081421,0.2532432973384857,0.6017541289329529,0.8182403445243835,0.5426574349403381,0.6888703107833862,0.32689085602760315,0.6056176424026489
main_2_8,0.5662943124771118,0.6096695065498352,0.629660427570343,0.5644484758377075,0.5057132244110107,0.534649133682251,0.7143035531044006,0.6138713955879211,0.5794370770454407
main_2_9,0.5695271492004395,0.6085535287857056,0.4466385245323181,0.5111061334609985,0.7454977631568909,0.5360584259033203,0.7086012363433838,0.48080289363861084,0.5358043909072876
main_2_10,0.5652987957000732,0.5890613794326782,0.4091877043247223,0.5007953643798828,0.5428677797317505,0.5310242772102356,0.6773654222488403,0.43768250942230225,0.523026168346405
main_2_11,0.5285464525222778,0.5776179432868958,0.24529501795768738,0.5941382646560669,0.5162299871444702,0.5746013522148132,0.7034231424331665,0.29871660470962524,0.5986026525497437
main_2_12,0.5545448660850525,0.5734900236129761,0.29831716418266296,0.5272220969200134,0.5482219457626343,0.5351750254631042,0.6786331534385681,0.346934050321579,0.542441725730896
main_2_13,0.5131959915161133,0.5711007118225098,0.1699642837047577,0.4757902920246124,0.7145923972129822,0.476786345243454,0.65193110704422,0.24780696630477905,0.49891531467437744
main_2_14,0.516986072063446,0.578728973865509,0.2941608726978302,0.40947219729423523,0.42262595891952515,0.44675135612487793,0.6360597014427185,0.33105504512786865,0.4453144073486328
main_2_15,0.5874767303466797,0.5786677598953247,0.1862572580575943,0.4926166832447052,0.5520436763763428,0.4307655096054077,0.6264687776565552,0.2608377933502197,0.5119694471359253
main_2_16,0.5292067527770996,0.5595431327819824,0.33538877964019775,0.4263448417186737,0.4578670561313629,0.38045263290405273,0.6108834743499756,0.36813074350357056,0.45492833852767944
main_2_17,0.5282989144325256,0.5609157085418701,0.19269482791423798,0.5561397075653076,0.5318732261657715,0.4264233112335205,0.6832100749015808,0.25709110498428345,0.5644639134407043
main_2_18,0.6194811463356018,0.5555810332298279,0.33793720602989197,0.5634605288505554,0.35344845056533813,0.42212775349617004,0.6865831017494202,0.37565743923187256,0.5698922276496887
main_2_19,0.6054980754852295,0.5512934327125549,0.4813087284564972,0.43380579352378845,0.5099647045135498,0.35392290353775024,0.6108369827270508,0.4992690682411194,0.4598819613456726
main_3_0,0.4922030568122864,0.5744005441665649,0.32373037934303284,0.4330402910709381,0.3412569761276245,0.3792113661766052,0.6148603558540344,0.3468013405799866,0.46252530813217163
main_3_1,0.6865555644035339,0.5822110772132874,0.24517413973808289,0.4706708490848541,0.5417194366455078,0.4027096629142761,0.6284905672073364,0.3208054006099701,0.49480587244033813
main_3_2,0.5711392760276794,0.564834475517273,0.41090941429138184,0.43139398097991943,0.5233436226844788,0.38552403450012207,0.6138803362846375,0.4386548399925232,0.45988473296165466
main_3_3,0.5394189953804016,0.5535825490951538,0.15667833387851715,0.6087538003921509,0.38043418526649475,0.3969639539718628,0.6300029158592224,0.22023800015449524,0.6028339862823486
main_3_4,0.5516963601112366,0.5501821041107178,0.2644440531730652,0.5973002910614014,0.409993439912796,0.39389556646347046,0.6518867611885071,0.31079015135765076,0.5944527387619019
main_3_5,0.484384149312973,0.5473955273628235,0.37106746435165405,0.5304672718048096,0.45695745944976807,0.3700248599052429,0.649437427520752,0.3910757005214691,0.5398881435394287
main_3_6,0.468799889087677,0.5498322248458862,0.13975946605205536,0.4841521680355072,0.5299846529960632,0.34504884481430054,0.6408228874206543,0.20639164745807648,0.5022264719009399
main_3_7,0.48295754194259644,0.5488229990005493,0.330032080411911,0.4128018617630005,0.44697993993759155,0.3201773464679718,0.6110020875930786,0.3570968210697174,0.44258201122283936
main_3_8,0.573932409286499,0.5452858209609985,0.17127686738967896,0.38619372248649597,0.4380713999271393,0.31795424222946167,0.5803625583648682,0.24004623293876648,0.4187434911727905
main_3_9,0.5874830484390259,0.5367591381072998,0.20924367010593414,0.35899996757507324,0.4429182708263397,0.3303273320198059,0.5606805682182312,0.27281635999679565,0.3944436013698578
main_3_10,0.5515526533126831,0.5255383849143982,0.1735045313835144,0.33468157052993774,0.4102437198162079,0.36148056387901306,0.570097029209137,0.23723793029785156,0.3738805055618286
main_3_11,0.4746832251548767,0.5181456208229065,0.1982864886522293,0.414938360452652,0.43884167075157166,0.4023841321468353,0.5922709107398987,0.2489716112613678,0.43916723132133484
main_3_12,0.45382779836654663,0.5124291777610779,0.2599724233150482,0.4203577935695648,0.38781285285949707,0.3797031044960022,0.5457473993301392,0.29304417967796326,0.4399842321872711
